,x1,x2,segment,visit
550,7,5,1,0
551,0,2,1,1
552,3,7,0,0
553,0,9,0,0
554,9,2,0,0
555,4,4,0,0
556,5,8,0,0
557,6,4,1,1
558,2,3,0,0
559,3,6,0,0
560,2,4,1,1
561,4,5,0,0
562,5,2,1,1
563,9,0,0,0
564,8,7,0,0
565,6,4,0,0
566,9,2,1,1
567,6,8,1,0
568,3,2,1,1
569,3,9,0,0
570,8,1,0,0
571,3,2,0,1
572,5,5,1,0
573,8,0,0,0
574,6,2,0,0
575,1,1,0,0
576,6,4,1,1
577,8,5,0,0
578,0,5,1,1
579,4,3,0,0
580,1,7,1,0
581,8,7,1,1
582,2,3,1,0
583,7,5,0,0
584,9,9,0,1
585,5,9,1,0
586,9,3,0,0
587,6,7,0,0
588,7,1,0,0
589,3,1,0,0
590,9,8,0,0
591,6,1,1,1
592,9,0,1,1
593,6,3,1,0
594,8,2,0,0
595,1,1,1,0
596,6,7,0,0
597,4,4,0,0
598,9,7,1,1
599,0,3,0,0
600,5,1,0,0
601,2,0,0,0
602,6,5,0,1
603,0,5,1,0
604,6,1,0,0
605,8,1,0,0
606,0,9,1,1
607,6,9,1,0
608,1,2,1,1
609,0,2,1,1
610,8,2,1,0
611,5,2,0,0
612,4,2,1,1
613,5,4,0,0
614,8,3,0,0
615,7,1,0,1
616,4,1,1,0
617,7,3,1,0
618,5,4,1,0
619,0,7,1,0
620,5,1,1,1
621,5,7,0,0
622,3,7,1,1
623,6,0,1,0
624,5,2,1,1
625,1,6,0,0
626,1,4,1,1
627,6,8,1,0
628,4,6,0,0
629,4,1,1,1
630,1,8,1,0
631,1,6,1,1
632,5,4,1,0
633,5,6,1,0
634,2,0,1,0
635,5,0,0,0
636,9,7,1,0
637,1,2,1,1
638,8,1,1,0
639,8,6,0,0
640,0,7,1,0
641,7,5,1,1
642,4,3,0,0
643,5,7,0,0
644,9,7,1,0
645,9,7,0,0
646,3,9,1,1
647,3,2,1,0
648,8,6,1,1
649,4,7,1,1
650,6,9,1,1
651,5,0,0,0
652,0,1,1,1
653,0,9,1,1
654,0,4,0,0
655,0,1,1,0
656,6,8,1,0
657,6,1,0,0
658,7,6,0,0
659,7,9,0,0
660,0,2,0,0
661,4,6,0,1
662,5,3,0,0
663,5,4,0,0
664,2,5,1,1
665,7,5,0,0
666,7,2,1,1
667,5,4,1,0
668,5,3,1,1
669,7,4,0,0
670,6,6,0,0
671,7,5,1,0
672,0,8,1,0
673,2,2,1,1
674,5,5,1,1
675,1,2,1,0
676,6,8,1,0
677,5,4,0,0
678,0,5,1,1
679,3,5,1,0
680,5,0,1,0
681,3,5,0,0
682,2,7,0,0
683,2,3,0,0
684,1,6,1,0
685,9,8,1,1
686,9,3,1,0
687,5,2,1,0
688,7,4,1,0
689,9,7,0,0
690,8,0,0,0
691,0,0,1,0
692,5,2,1,0
693,5,2,0,0
694,8,6,1,1
695,1,8,0,0
696,6,2,0,0
697,5,6,0,0
698,0,4,1,1
699,8,1,1,0
700,8,0,0,0
701,1,5,1,1
702,0,1,0,1
703,4,5,1,0
704,0,0,0,0
705,1,3,0,0
706,0,0,1,1
707,6,9,1,1
708,0,3,1,1
709,3,9,0,1
710,2,9,1,1
711,7,1,0,0
712,9,7,0,0
713,4,9,1,1
714,4,4,0,0
715,0,5,1,0
716,3,9,1,1
717,9,7,1,0
718,8,4,0,0
719,9,0,1,0
720,8,8,0,1
721,8,7,0,0
722,0,4,1,1
723,0,1,1,0
724,6,4,0,0
725,6,5,0,0
726,1,8,1,1
727,2,7,0,0
728,9,2,1,0
729,5,8,1,0
730,7,0,0,0
731,3,1,0,0
732,9,5,1,1
733,3,7,1,0
734,6,5,1,0
735,9,4,0,0
736,0,0,1,1
737,5,7,0,0
738,0,5,0,0
739,6,6,1,1
740,0,6,0,0
741,5,4,0,0
742,6,3,0,0
743,6,4,1,1
744,7,6,0,1
745,9,7,1,0
746,0,3,1,0
747,2,9,1,0
748,5,8,0,0
749,5,6,1,1
750,9,3,1,0
751,9,0,1,1
752,5,9,0,0
753,5,9,1,0
754,4,1,1,0
755,4,4,1,0
756,2,2,0,0
757,1,0,0,0
758,8,1,0,0
759,7,1,1,0
760,6,4,0,0
761,6,3,0,0
762,7,6,0,0
763,1,1,0,0
764,0,1,0,0
765,0,6,1,0
766,2,2,0,0
767,0,6,0,0
768,2,7,0,0
769,7,8,1,1
770,9,7,0,1
771,1,7,0,0
772,3,6,1,0
773,3,1,0,0
774,1,3,0,0
775,8,4,1,1
776,9,9,1,0
777,2,0,1,1
778,6,6,1,0
779,0,3,1,1
780,5,4,0,0
781,9,7,1,0
782,9,8,0,0
783,4,5,0,1
784,4,9,1,1
785,6,6,1,1
786,3,1,0,0
787,4,0,0,1
788,8,6,1,0
789,5,6,1,0
790,4,1,0,0
791,6,4,0,1
792,5,6,0,0
793,0,1,0,0
794,3,7,0,0
795,3,9,1,1
796,0,5,1,1
797,6,4,0,0
798,1,7,0,0
799,1,9,0,0
800,6,9,0,0
801,7,3,0,0
802,7,7,1,1
803,4,2,0,1
804,9,5,0,0
805,4,9,0,0
806,6,4,1,1
807,9,3,0,0
808,5,4,0,0
809,3,3,1,0
810,5,0,0,0
811,1,5,0,1
812,2,6,1,0
813,9,9,1,1
814,6,5,0,0
815,7,5,1,1
816,0,0,1,0
817,5,9,1,0
818,9,1,1,0
819,6,1,1,1
820,6,4,1,0
821,1,2,1,1
822,6,5,0,0
823,8,4,1,0
824,1,2,0,0
825,0,0,1,1
826,7,9,0,0
827,2,9,1,1
828,9,7,0,0
829,2,1,1,0
830,2,0,0,0
831,8,2,0,0
832,7,4,1,0
833,1,3,0,0
834,4,0,0,0
835,8,5,0,0
836,1,6,1,1
837,1,7,0,0
838,6,8,1,0
839,6,7,0,0
840,9,4,0,0
841,3,0,1,0
842,1,0,0,0
843,1,8,0,0
844,8,0,0,0
845,4,3,1,0
846,9,1,1,0
847,0,6,0,0
848,2,7,0,0
849,5,0,1,1
850,5,1,0,0
851,8,9,0,1
852,1,8,1,1
853,0,2,0,0
854,9,7,1,1
855,1,3,0,0
856,2,5,1,0
857,3,5,1,1
858,4,4,1,1
859,6,4,1,1
860,4,1,0,0
861,6,3,1,1
862,9,9,0,0
863,1,3,0,0
864,6,4,0,0
865,0,6,0,0
866,1,2,0,1
867,1,9,0,0
868,7,1,1,1
869,3,3,1,0
870,5,4,0,1
871,9,4,1,0
872,5,7,1,1
873,1,1,0,0
874,5,8,0,0
875,6,6,0,0
876,3,2,0,1
877,1,5,1,1
878,1,0,0,1
879,2,0,0,1
880,1,8,1,1
881,0,3,0,0
882,2,0,1,1
883,0,9,1,0
884,9,6,1,1
885,7,4,1,0
886,1,8,0,1
887,8,3,0,0
888,5,7,1,1
889,3,2,1,1
890,9,2,0,0
891,2,3,1,1
892,7,4,1,1
893,9,5,1,0
894,5,0,1,0
895,1,1,1,1
896,5,0,0,1
897,7,3,1,1
898,3,1,0,0
899,3,2,0,0
900,6,1,1,1
901,3,8,0,1
902,9,3,1,0
903,7,4,0,0
904,3,5,1,1
905,5,7,1,0
906,6,7,1,1
907,0,0,0,0
908,4,3,0,0
909,1,1,0,0
910,6,2,0,0
911,6,3,1,0
912,5,0,0,1
913,7,1,1,0
914,5,6,0,0
915,1,6,0,0
916,0,9,1,0
917,8,7,1,0
918,4,7,0,0
919,9,5,0,0
920,3,5,1,1
921,7,4,0,0
922,7,3,0,0
923,1,4,0,0
924,3,9,1,0
925,7,6,0,1
926,5,7,1,1
927,3,5,1,0
928,7,7,0,1
929,2,5,1,0
930,3,6,0,0
931,6,5,1,1
932,7,0,0,0
933,2,0,0,0
934,4,2,1,1
935,0,2,0,0
936,5,1,0,0
937,7,2,0,0
938,3,5,0,0
939,6,0,0,1
940,5,9,1,1
941,7,6,1,1
942,5,0,0,0
943,6,5,0,0
944,1,1,1,1
945,8,6,1,0
946,4,8,0,1
947,8,8,0,0
948,6,8,0,0
949,9,5,0,0
950,2,0,0,0
951,5,0,1,1
952,1,5,1,0
953,0,6,1,1
954,1,2,1,0
955,8,8,1,1
956,5,0,0,0
957,9,6,1,0
958,2,6,1,1
959,1,8,1,0
960,7,7,0,0
961,7,0,1,0
962,5,1,1,1
963,5,3,1,1
964,1,5,0,0
965,8,4,0,0
966,6,5,0,0
967,8,0,0,0
968,3,6,0,0
969,1,7,1,1
970,2,5,0,0
971,4,7,1,0
972,0,1,1,1
973,8,0,1,0
974,9,1,1,0
975,7,7,1,1
976,0,3,1,0
977,0,6,1,1
978,4,8,1,1
979,2,3,0,0
980,3,1,1,1
981,8,5,1,1
982,9,7,0,1
983,5,3,1,0
984,7,8,1,1
985,3,1,1,0
986,6,5,1,0
987,5,1,1,1
988,4,6,1,1
989,6,7,0,0
990,0,3,1,1
991,6,0,1,0
992,9,3,0,0
993,3,9,0,1
994,3,4,0,0
995,3,8,0,0
996,8,9,1,0
997,6,1,1,0
998,8,3,0,0
999,7,3,1,0
1000,2,3,0,0
1001,9,9,0,0
1002,2,5,1,0
1003,3,7,0,0
1004,3,4,1,0
1005,6,6,1,0
1006,7,0,1,1
1007,7,2,1,1
1008,5,0,1,0
1009,8,3,1,0
1010,1,5,0,0
1011,4,7,1,0
1012,4,7,0,0
1013,1,3,1,0
1014,3,5,1,1
1015,8,2,1,1
1016,4,1,0,0
1017,4,1,1,1
1018,1,1,1,0
1019,0,8,1,0
1020,8,3,1,1
1021,7,1,0,0
1022,6,1,1,0
1023,3,8,0,0
1024,4,8,1,1
1025,4,5,1,1
1026,1,8,0,0
1027,7,8,1,1
1028,1,1,0,1
1029,6,9,0,0
1030,3,6,0,0
1031,4,3,0,0
1032,2,7,1,1
1033,5,5,0,0
1034,4,3,1,0
1035,2,8,0,0
1036,3,6,0,0
1037,0,6,0,1
1038,4,8,1,0
1039,5,1,0,0
1040,1,5,0,0
1041,5,7,0,0
1042,4,7,1,0
1043,8,9,1,0
1044,7,1,0,0
1045,9,0,1,1
1046,6,1,0,0
1047,8,7,1,1
1048,3,2,0,0
1049,0,0,0,0
1050,8,3,0,0
1051,4,5,1,0
1052,8,3,1,0
1053,2,8,1,0
1054,8,0,1,1
1055,2,6,0,1
1056,3,9,0,1
1057,4,1,0,0
1058,4,3,0,0
1059,3,8,0,0
1060,3,7,1,0
1061,8,3,0,0
1062,6,1,0,0
1063,2,2,1,1
1064,7,3,1,0
1065,4,6,1,1
1066,0,3,1,0
1067,7,3,0,0
1068,7,6,0,0
1069,5,6,1,1
1070,6,6,1,0
1071,8,1,0,0
1072,1,0,0,0
1073,2,6,1,1
1074,1,1,1,0
1075,0,6,0,1
1076,3,7,1,1
1077,6,6,1,0
1078,2,9,0,0
1079,0,2,0,0
1080,5,9,1,0
1081,7,3,1,1
1082,9,8,1,0
1083,9,5,0,0
1084,0,9,1,1
1085,8,4,0,1
1086,1,0,1,0
1087,3,3,1,1
1088,2,4,1,0
1089,2,4,1,0
1090,1,1,0,0
1091,6,7,0,0
1092,4,0,1,1
1093,4,1,1,1
1094,6,5,0,1
1095,5,3,1,1
1096,6,8,1,1
1097,4,0,1,1
1098,2,8,0,0
1099,4,6,1,0
1100,8,4,1,0
1101,9,4,1,0
1102,9,0,1,1
1103,7,9,1,0
1104,2,5,0,0
1105,9,5,0,0
1106,0,3,0,0
1107,6,8,0,1
1108,3,9,1,0
1109,2,7,0,1
1110,6,3,0,0
1111,7,1,0,0
1112,3,5,0,1
1113,9,9,1,1
1114,6,2,0,0
1115,6,4,1,0
1116,8,4,0,0
1117,6,6,1,0
1118,3,8,1,1
1119,3,4,0,0
1120,4,3,1,1
1121,7,5,0,0
1122,8,1,1,1
1123,5,2,0,0
1124,6,6,0,0
1125,5,9,1,1
1126,3,0,1,0
1127,8,8,1,0
1128,2,6,1,0
1129,5,2,1,0
1130,8,4,0,1
1131,1,9,0,0
1132,5,9,1,0
1133,5,6,0,0
1134,5,0,1,1
1135,2,4,0,0
1136,1,1,1,1
1137,9,9,1,0
1138,7,9,1,0
1139,6,9,1,0
1140,5,0,1,1
1141,6,7,1,1
1142,5,7,1,0
1143,7,3,1,1
1144,9,8,0,0
1145,3,0,1,0
1146,1,3,0,0
1147,5,8,0,1
1148,6,3,1,1
1149,9,8,0,0
1150,9,1,0,0
1151,0,8,1,0
1152,4,5,0,0
1153,3,1,1,0
1154,6,7,0,0
1155,5,0,1,0
1156,3,0,1,1
1157,7,8,0,0
1158,3,5,1,0
1159,6,2,0,0
1160,0,3,0,0
1161,2,8,0,0
1162,7,1,0,1
1163,6,5,0,0
1164,5,9,1,0
1165,8,7,1,1
1166,2,7,0,1
1167,1,4,0,0
1168,1,8,0,0
1169,0,3,0,0
1170,9,6,0,0
1171,5,5,1,1
1172,1,0,0,1
1173,5,3,0,0
1174,4,1,0,0
1175,4,3,1,1
1176,9,3,0,0
1177,1,6,0,0
1178,6,0,0,0
1179,6,0,1,1
1180,0,7,0,0
1181,6,3,0,0
1182,7,4,1,0
1183,7,4,1,0
1184,1,7,0,1
1185,2,1,1,1
1186,2,3,0,0
1187,9,4,0,0
1188,5,6,1,0
1189,9,6,0,0
1190,7,4,1,1
1191,1,1,1,1
1192,1,0,1,1
1193,2,5,0,0
1194,4,9,1,1
1195,7,8,1,0
1196,9,9,1,1
1197,1,3,1,1
1198,2,0,0,0
1199,3,8,1,0
1200,3,8,1,1
1201,3,8,1,0
1202,2,9,1,1
1203,5,5,1,1
1204,4,3,1,0
1205,8,8,1,1
1206,0,7,0,0
1207,2,4,1,0
1208,9,5,1,0
1209,5,5,1,0
1210,2,2,0,0
1211,1,6,0,0
1212,3,5,1,0
1213,9,4,1,1
1214,8,9,1,0
1215,6,0,1,1
1216,3,2,1,0
1217,5,8,0,0
1218,2,4,0,0
1219,0,8,0,0
1220,2,4,1,1
1221,4,1,1,0
1222,5,4,0,0
1223,6,6,0,0
1224,0,4,0,0
1225,9,1,0,0
1226,2,7,1,0
1227,9,2,0,0
1228,2,0,1,0
1229,7,2,0,0
1230,9,2,0,0
1231,9,6,0,0
1232,2,7,0,0
1233,4,6,0,0
1234,6,9,1,0
1235,2,3,1,0
1236,8,4,1,0
1237,6,2,0,0
1238,4,3,1,1
1239,2,4,0,0
1240,6,9,0,0
1241,2,6,1,1
1242,3,0,0,0
1243,0,6,0,0
1244,4,1,0,0
1245,2,4,0,0
1246,1,6,0,0
1247,3,4,1,0
1248,2,3,1,0
1249,4,6,0,0
1250,4,3,1,1
1251,4,2,0,0
1252,0,0,0,0
1253,0,3,1,1
1254,1,0,1,0
1255,1,1,0,0
1256,9,3,0,1
1257,0,9,1,0
1258,8,7,1,0
1259,2,4,0,1
1260,7,3,1,1
1261,6,3,0,0
1262,3,3,1,0
1263,9,4,1,0
1264,4,0,1,1
1265,2,0,0,1
1266,8,6,0,0
1267,3,4,0,0
1268,8,6,1,1
1269,5,5,1,0
1270,8,3,1,0
1271,5,8,0,1
1272,1,0,0,0
1273,2,2,0,1
1274,9,1,1,0
1275,0,3,1,0
1276,3,6,1,0
1277,1,6,1,1
1278,6,6,1,0
1279,1,8,1,0
1280,1,5,0,0
1281,9,9,1,1
1282,3,1,0,0
1283,1,4,1,0
1284,6,9,0,0
1285,4,2,1,1
1286,3,7,1,0
1287,0,2,0,0
1288,1,2,1,0
1289,0,0,1,1
1290,8,4,0,0
1291,9,2,0,1
1292,9,9,0,1
1293,1,8,1,0
1294,2,0,1,1
1295,3,5,0,1
1296,6,6,1,0
1297,1,4,0,1
1298,5,5,0,0
1299,7,7,0,1
1300,0,3,1,1
1301,1,0,0,0
1302,7,0,0,0
1303,7,1,0,1
1304,7,2,0,0
1305,1,2,0,0
1306,0,6,0,1
1307,4,9,0,0
1308,6,9,0,1
1309,9,0,1,1
1310,9,6,0,1
1311,0,1,0,0
1312,3,0,1,0
1313,4,2,0,0
1314,5,0,0,0
1315,6,7,1,1
1316,2,2,1,1
1317,7,3,0,0
1318,4,8,1,1
1319,9,3,1,1
1320,7,4,0,0
1321,2,8,1,0
1322,4,8,0,0
1323,7,1,0,0
1324,3,1,0,0
1325,8,9,0,0
1326,1,0,0,0
1327,6,3,0,0
1328,0,1,1,0
1329,5,3,0,0
1330,4,7,0,0
1331,2,6,0,1
1332,9,5,0,0
1333,5,8,1,0
1334,0,4,1,0
1335,6,6,0,1
1336,1,3,0,0
1337,2,8,1,1
1338,6,0,0,1
1339,5,4,1,0
1340,3,5,0,0
1341,0,2,1,1
1342,7,8,1,1
1343,8,2,1,0
1344,8,8,0,0
1345,7,3,0,0
1346,0,8,0,1
1347,9,2,0,1
1348,9,1,1,1
1349,4,4,0,0
1350,7,3,1,0
1351,0,8,0,1
1352,3,9,0,1
1353,2,4,0,0
1354,4,4,0,0
1355,4,4,0,1
1356,9,2,0,0
1357,9,2,1,1
1358,2,2,1,1
1359,1,2,1,0
1360,2,5,0,0
